HeatVaporization_difference,BoilingT_difference,GSestFCClatcnt_difference,ThermalExpansionCoefficient_difference,GSestBCClatcnt_difference,ElectronAffinity_difference,MeltingT_difference,BoilingT_composition_average,NpUnfilled_arithmetic_average,HHIr_composition_average,ThermalConductivity_difference,MendeleevNumber_difference,BCCfermi_arithmetic_average,ThirdIonizationEnergy_composition_average,Density_difference,ThermalExpansionCoefficient_arithmetic_average,ThirdIonizationEnergy_arithmetic_average,HeatVaporization_composition_average,phi_composition_average,SpecificHeatCapacity_composition_average,HHIr_min_value,IonicRadii_composition_average,HeatCapacityMolar_composition_average,ThermalExpansionCoefficient_composition_average,NValance_composition_average
380.9,2682.5,1.0300140540000005,115.2,0.8175226960000002,58.3,1510.75,2684.78,0.75,5015.0,400.765,22.0,6.18234914,33.657,10200.0,42.175,33.7775,290.48400000000004,5.175000000000001,0.40707,1500.0,0.5753,25.142000000000003,36.269,9.27
355.5891,3082.9,1.025520363,777.4,0.813956052,81.3,1632.2,1011.66,2.0,1340.0,147.7326,86.0,4.4050522700000005,64.149,2328.571,276.2,70.29233333333333,103.26654,1.5100000000000002,1.4084,500.0,1.0439999999999998,26.5968,477.72,4.6000000000000005
355.5891,3082.9,1.5758831720000002,777.4,1.2507793029999998,88.39999999999999,1632.2,997.2606666666668,2.0,603.3333333333333,147.7326,85.0,4.767732453333333,54.73509333333333,2328.571,284.53333333333336,53.35566666666666,100.86441933333332,1.6553333333333335,0.9530666666666668,500.0,1.0681333333333332,27.146986666666667,439.724,4.32
434.3,3126.5,0.7525951270000002,118.6,0.597335148,21.700000000000003,1865.7,554.9127880704925,1.5,5099.231812019882,30.465,37.0,8.261448575,30.17960686850429,4287.0,67.7,29.745,12.596249435155896,5.549412562132852,0.7688734749209218,3400.0,0.1701671938544961,23.824481699051063,126.94640759150474,5.0
434.3,3126.5,0.7525951270000002,118.6,0.597335148,21.700000000000003,1865.7,554.9127880704925,1.5,5099.231812019882,30.465,37.0,8.261448575,30.17960686850429,4287.0,67.7,29.745,12.596249435155896,5.549412562132852,0.7688734749209218,3400.0,0.1701671938544961,23.824481699051063,126.94640759150474,5.0
290.0,1482.0,0.9892583919999997,10.8,0.785174906,98.3,770.23,3708.65,0.0,1865.0,379.1,21.0,3.860980433333333,31.631575,4413.0,10.266666666666667,29.103666666666665,404.1025,4.07625,0.360575,1500.0,0.75675,24.7855,12.3975,8.2
434.3,3126.5,0.7525951270000002,118.6,0.597335148,21.700000000000003,1865.7,555.0052961001444,1.5,5099.18151179586,30.465,37.0,8.261448575,30.179581126624942,4287.0,67.7,29.745,12.609099662975446,5.549374097255657,0.7688651901781416,3400.0,0.1701781415503129,23.82451324025036,126.94289841116996,5.0
434.3,3126.5,0.7525951270000002,118.6,0.597335148,21.700000000000003,1865.7,554.9127880704925,1.5,5099.231812019882,30.465,37.0,8.261448575,30.17960686850429,4287.0,67.7,29.745,12.596249435155896,5.549412562132852,0.7688734749209218,3400.0,0.1701671938544961,23.824481699051063,126.94640759150474,5.0
434.3,3126.5,0.7525951270000002,118.6,0.597335148,21.700000000000003,1865.7,555.0052961001444,1.5,5099.18151179586,30.465,37.0,8.261448575,30.179581126624942,4287.0,67.7,29.745,12.609099662975446,5.549374097255657,0.7688651901781416,3400.0,0.1701781415503129,23.82451324025036,126.94289841116996,5.0
299.7,1890.0,1.071030477,17.400000000000002,0.8500774529999999,66.0,1194.53,4141.84,1.6666666666666667,2186.0,214.3,29.0,5.695972193333334,26.59336,6208.0,14.066666666666668,28.869,511.144,3.965,0.37092,1000.0,0.7769999999999999,25.4518,9.094,5.48
339.87,2247.0,0.9892583919999997,13.2,0.785174906,75.7,893.0699999999999,3790.4,0.0,1985.0,406.3,21.0,4.21985005,30.402,3979.0,13.7,31.55,426.013,3.99,0.3218499999999999,1400.0,0.8214999999999999,24.945,11.88,7.85
434.3,3126.5,0.7525951270000002,118.6,0.597335148,21.700000000000003,1865.7,555.0052961001444,1.5,5099.18151179586,30.465,37.0,8.261448575,30.179581126624942,4287.0,67.7,29.745,12.609099662975446,5.549374097255657,0.7688651901781416,3400.0,0.1701781415503129,23.82451324025036,126.94289841116996,5.0
290.0,1482.0,0.9892583919999997,10.8,0.785174906,98.3,770.23,3856.85,0.0,1975.0,379.1,21.0,3.860980433333333,30.247575,4413.0,10.266666666666667,29.103666666666665,433.1025,3.97625,0.349875,1500.0,0.7677499999999999,24.8775,11.3175,7.5
